,index,Symbol,Security,Sector,GICS Sub-Industry,Open,Low,Close,High,beta,forwardPE,averageVolume,marketCap,Trailing PE
220,220,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","0    15.45
Name: Open, dtype: float64","0    15.41
Name: Low, dtype: float64","0    15.53
Name: Close, dtype: float64","0    15.66
Name: High, dtype: float64",1.397058,10.284768,5654890,5409471488,12.667211
221,221,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"0    52.380001
Name: Open, dtype: float64","0    52.099998
Name: Low, dtype: float64","0    52.490002
Name: Close, dtype: float64","0    53.040001
Name: High, dtype: float64",1.03939,9.578467,2442354,18808741888,10.974284
222,222,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"0    95.910004
Name: Open, dtype: float64","0    94.120003
Name: Low, dtype: float64","0    94.739998
Name: Close, dtype: float64","0    96.669998
Name: High, dtype: float64",0.890231,21.100224,989740,12982317056,33.595745
223,223,HCA,HCA Healthcare,Health Care,Health Care Facilities,"0    166.020004
Name: Open, dtype: float64","0    164.649994
Name: Low, dtype: float64","0    167.949997
Name: Close, dtype: float64","0    168.990005
Name: High, dtype: float64",1.593487,14.0309105,1494045,56830083072,16.981798
224,224,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"0    29.200001
Name: Open, dtype: float64","0    29.059999
Name: Low, dtype: float64","0    30.16
Name: Close, dtype: float64","0    30.309999
Name: High, dtype: float64",0.6969529999999999,,3844585,16236967936,0.0
225,225,HSIC,Henry Schein,Health Care,Health Care Distributors,"0    70.410004
Name: Open, dtype: float64","0    69.120003
Name: Low, dtype: float64","0    70.18
Name: Close, dtype: float64","0    70.559998
Name: High, dtype: float64",0.824054,18.566137,953638,10020020224,17.16312
226,226,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"0    148.800003
Name: Open, dtype: float64","0    147.600006
Name: Low, dtype: float64","0    149.630005
Name: Close, dtype: float64","0    149.75
Name: High, dtype: float64",0.305672,22.705614,820414,31144587264,26.264702
227,227,HES,Hess Corporation,Energy,Integrated Oil & Gas,"0    62.93
Name: Open, dtype: float64","0    61.509998
Name: Low, dtype: float64","0    62.259998
Name: Close, dtype: float64","0    62.93
Name: High, dtype: float64",2.243697,-32.9418,2212787,19118612480,0.0
228,228,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","0    12.3
Name: Open, dtype: float64","0    12.26
Name: Low, dtype: float64","0    12.34
Name: Close, dtype: float64","0    12.42
Name: High, dtype: float64",1.388655,6.893855,10722574,15961790464,0.0
229,229,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","0    108.019997
Name: Open, dtype: float64","0    105.809998
Name: Low, dtype: float64","0    107.699997
Name: Close, dtype: float64","0    108.589996
Name: High, dtype: float64",1.309348,53.31683,2570369,29880934400,0.0
230,230,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"0    29.719999
Name: Open, dtype: float64","0    28.85
Name: Low, dtype: float64","0    29.280001
Name: Close, dtype: float64","0    29.870001
Name: High, dtype: float64",1.813025,266.18182,3103996,4743857664,0.0
231,231,HOLX,Hologic,Health Care,Health Care Equipment,"0    76.0
Name: Open, dtype: float64","0    75.550003
Name: Low, dtype: float64","0    77.220001
Name: Close, dtype: float64","0    77.449997
Name: High, dtype: float64",1.270483,16.222689,1906183,19846311936,18.342043
232,232,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"0    273.25
Name: Open, dtype: float64","0    271.5
Name: Low, dtype: float64","0    274.299988
Name: Close, dtype: float64","0    277.209991
Name: High, dtype: float64",1.026785,22.120968,3959258,295311376384,23.72632
233,233,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"0    207.919998
Name: Open, dtype: float64","0    206.669998
Name: Low, dtype: float64","0    208.080002
Name: Close, dtype: float64","0    208.669998
Name: High, dtype: float64",1.15231,26.406092,3022845,146006835200,29.823706
234,234,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"0    44.73
Name: Open, dtype: float64","0    44.470001
Name: Low, dtype: float64","0    44.73
Name: Close, dtype: float64","0    45.009998
Name: High, dtype: float64",-0.064075,23.919786,2011888,24150532096,26.945784
235,235,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"0    14.36
Name: Open, dtype: float64","0    14.36
Name: Low, dtype: float64","0    14.95
Name: Close, dtype: float64","0    15.19
Name: High, dtype: float64",1.392857,-20.202702,9220466,10544683008,0.0
236,236,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"0    27.940001
Name: Open, dtype: float64","0    27.34
Name: Low, dtype: float64","0    27.4
Name: Close, dtype: float64","0    27.99
Name: High, dtype: float64",1.71683,,3514443,11880749056,0.0
237,237,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","0    25.219999
Name: Open, dtype: float64","0    25.049999
Name: Low, dtype: float64","0    25.200001
Name: Close, dtype: float64","0    25.32
Name: High, dtype: float64",1.091386,8.484849,8825416,32498927616,12.6
238,238,HUM,Humana Inc.,Health Care,Managed Health Care,"0    408.0
Name: Open, dtype: float64","0    402.079987
Name: Low, dtype: float64","0    411.339996
Name: Close, dtype: float64","0    412.140015
Name: High, dtype: float64",0.856617,18.92959,891116,54437146624,13.182284
239,239,HBAN,Huntington Bancshares,Financials,Regional Banks,"0    14.84
Name: Open, dtype: float64","0    14.61
Name: Low, dtype: float64","0    14.68
Name: Close, dtype: float64","0    14.84
Name: High, dtype: float64",1.4847679999999999,12.991151,11067527,15006483456,20.646976
240,240,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"0    170.240005
Name: Open, dtype: float64","0    168.270004
Name: Low, dtype: float64","0    168.460007
Name: Close, dtype: float64","0    170.839996
Name: High, dtype: float64",0.901785,16.213667,370203,6821383680,11.554976
241,241,IEX,IDEX Corporation,Industrials,Industrial Machinery,"0    194.720001
Name: Open, dtype: float64","0    194.529999
Name: Low, dtype: float64","0    198.279999
Name: Close, dtype: float64","0    199.479996
Name: High, dtype: float64",1.075105,34.90845,409248,15010946048,40.465305
242,242,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"0    486.410004
Name: Open, dtype: float64","0    485.839996
Name: Low, dtype: float64","0    495.040009
Name: Close, dtype: float64","0    496.779999
Name: High, dtype: float64",0.879726,73.122604,407096,42226864128,86.30405
243,243,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"0    87.720001
Name: Open, dtype: float64","0    87.589996
Name: Low, dtype: float64","0    89.699997
Name: Close, dtype: float64","0    90.43
Name: High, dtype: float64",1.045693,25.62857,3087240,37827026944,41.336403
244,244,ITW,Illinois Tool Works,Industrials,Industrial Machinery,"0    205.520004
Name: Open, dtype: float64","0    202.979996
Name: Low, dtype: float64","0    204.990005
Name: Close, dtype: float64","0    205.520004
Name: High, dtype: float64",1.077731,26.761097,1086385,64883437568,31.08264
245,245,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"0    389.950012
Name: Open, dtype: float64","0    389.950012
Name: Low, dtype: float64","0    403.540009
Name: Close, dtype: float64","0    404.070007
Name: High, dtype: float64",1.133403,64.982285,1116495,58916839424,93.541954
246,246,INCY,Incyte,Health Care,Biotechnology,"0    93.980003
Name: Open, dtype: float64","0    93.720001
Name: Low, dtype: float64","0    96.370003
Name: Close, dtype: float64","0    97.18
Name: High, dtype: float64",0.956932,27.14648,1117708,21104646144,0.0
